,real,real,real,real,sys,sys,sys,user,user,user
,average,std,max,len,average,std,max,average,std,max
library,,,,,,,,,,
convertdate,2.84075,0.09310701727940109,2.972,4.0,0.33675,0.0441087670801773,0.385,2.452,0.11626980118098877,2.577
cookiecutter,3.458,,3.458,1.0,0.22,,0.22,2.88,,2.88
coolbox,27.561,,27.561,1.0,2.314,,2.314,23.245,,23.245
cooler,10.208,,10.208,1.0,0.8690000000000001,,0.8690000000000001,9.032,,9.032
coolprop,1.271,,1.271,1.0,0.145,,0.145,1.0759999999999998,,1.0759999999999998
corner,5.930249999999999,0.14864134687226185,6.067,4.0,0.4885,0.04935247376440888,0.546,5.272,0.11172287142747464,5.4
coverage,1.5092499999999998,0.03485565473013903,1.551,4.0,0.1115,0.003316624790355402,0.114,1.35525,0.029578990291534,1.391
coveralls,3.265,,3.265,1.0,0.249,,0.249,2.85,,2.85
cowpoke,0.8895,0.014271183085738343,0.9009999999999999,4.0,0.105,0.016792855623746664,0.11800000000000001,0.73425,0.03566861365402361,0.7709999999999999
cryptography,2.30225,0.04030198506277329,2.34,4.0,0.18925,0.02957899029153408,0.225,2.03625,0.0627236000242334,2.095
cryptorandom,6.568,,6.568,1.0,0.596,,0.596,5.575,,5.575
csbdeep,10.423,,10.423,1.0,0.7070000000000001,,0.7070000000000001,9.388,,9.388
cssselect,0.881,0.051439284598446704,0.958,4.0,0.10700000000000001,0.016062378404209012,0.11900000000000001,0.7385,0.03700900791248884,0.7859999999999999
csvwlib,4.362,,4.362,1.0,0.447,,0.447,3.639,,3.639
cufflinks,24.57475,0.34253698097188495,24.795,4.0,2.3375,0.06382528234694042,2.416,21.31675,0.3018844977801966,21.484
currencyconverter,0.902,,0.902,1.0,0.098,,0.098,0.748,,0.748
curver,4.937,,4.937,1.0,0.5489999999999999,,0.5489999999999999,4.3069999999999995,,4.3069999999999995
cv2_plt_imshow,7.965,,7.965,1.0,0.738,,0.738,6.827999999999999,,6.827999999999999
cvxopt,1.4817500000000001,0.0336191909480283,1.5319999999999998,4.0,0.18075000000000002,0.02728094573140748,0.221,1.25175,0.006601767440112688,1.261
cvxpy,9.34975,0.3211088859976735,9.704,4.0,6.414,0.22376922636204175,6.556,11.713000000000001,0.21965123870961056,11.922
cycler,0.9367500000000001,0.02312826553519885,0.963,4.0,0.093,0.022671568097509268,0.11699999999999999,0.799,0.015979153085609227,0.8190000000000001
cycontext,9.752,,9.752,1.0,0.858,,0.858,8.421,,8.421
