library,user_time_constant_median,user_time_constant_average,user_time_constant_std,user_time_constant_max,user_time_full_median,user_time_full_average,user_time_full_std,user_time_full_max,user_time_solo_len,user_time_solo_median,user_time_solo_average,user_time_solo_std,user_time_solo_max
sasview,0.664,0.664,,0.664,0.601,0.601,,0.601,1.0,0.6729999999999999,0.6729999999999999,,0.6729999999999999
sat-search,0.741,0.7220000000000001,0.06070145522692731,0.7759999999999999,3.6630000000000003,3.661142857142857,0.0834793958040518,3.765,7.0,2.144,2.114142857142857,0.08494788318223617,2.2159999999999997
savreaderwriter,0.6415,0.65,0.03703151810732766,0.7020000000000001,3.7465,3.7437500000000004,0.057662090377185074,3.8110000000000004,4.0,3.7615,3.769,0.1442104943014438,3.946
sbpack,0.733,0.7275,0.02768272626265939,0.755,2.737,2.71325,0.1586534483289498,2.866,4.0,0.887,0.87625,0.027293161536668244,0.895
scandir,0.6725,0.672,0.031379398762032794,0.7040000000000001,1.4645000000000001,1.4455,0.04977616564849745,1.48,4.0,1.4820000000000002,1.4732500000000002,0.057725644214681605,1.5319999999999998
scanpy,1.081,1.08,0.010000000000000002,1.091,24.083,24.13075,0.3870102281163471,24.570999999999998,4.0,1.6675,1.6592500000000001,0.04752104796824248,1.702
scaper,0.836,0.85675,0.0511948890678227,0.932,13.75,13.7665,0.09181321618735758,13.892999999999999,4.0,0.9975,0.98675,0.02183842179889988,0.998
scapy,0.711,0.711,,0.711,2.3,2.3,,2.3,1.0,2.378,2.378,,2.378
scattertext,0.882,0.8734999999999999,0.03526565846069898,0.905,15.4585,15.53925,0.25517363369543744,15.892999999999999,4.0,1.4505,1.4532500000000002,0.019293781381574827,1.475
scconnect,2.375,2.38475,0.06263319141371183,2.469,59.3545,59.488749999999996,0.5952575773002268,60.302,4.0,4.3095,4.3175,0.09640366521386304,4.421
schedule,0.6965,0.6945,0.017710637105047056,0.7140000000000001,0.73,0.72825,0.0234716140618123,0.754,4.0,0.7585,0.7555000000000001,0.023330952259462835,0.78
schema,0.6565,0.6535000000000001,0.05962382074305535,0.7090000000000001,0.7965,0.79825,0.010078855755160645,0.812,4.0,0.759,0.76525,0.01975474626513839,0.794
schema-salad,0.738,0.745,0.056356011214421485,0.8170000000000001,4.8625,4.8534999999999995,0.14139896274961417,5.007,4.0,1.1190000000000002,1.1332499999999999,0.050684481517192924,1.206
schemdraw,0.7464999999999999,0.7345,0.03141655614481005,0.757,5.0995,5.1434999999999995,0.12771452540725406,5.331,4.0,0.825,0.82925,0.011354147553500732,0.846
scholarly,0.919,0.919,,0.919,12.167,12.167,,12.167,1.0,0.985,0.985,,0.985
schwimmbad,0.6535,0.65225,0.03822193959843835,0.6970000000000001,3.348,3.3452499999999996,0.07352720584926387,3.428,4.0,3.2190000000000003,3.2380000000000004,0.0741125270562721,3.343
sciencebasepy,0.7210000000000001,0.7152499999999999,0.030761176830544013,0.741,1.561,1.5447499999999998,0.05765630928181233,1.595,4.0,0.8175,0.8145,0.019502136635080113,0.835
