library,real_time_solo_len,real_time_solo_median,real_time_solo_average,real_time_solo_std,real_time_solo_max,real_time_full_median,real_time_full_average,real_time_full_std,real_time_full_max,real_time_constant_median,real_time_constant_average,real_time_constant_std,real_time_constant_max
pysal,4.0,3.1799999999999997,3.211,0.08061017305526648,3.3289999999999997,48.757,52.41224999999999,7.7589174234124485,64.03699999999999,1.6869999999999998,1.6819999999999997,0.03535533905932749,1.7169999999999999
pysam,4.0,1.3704999999999998,1.4040000000000001,0.13776066201931514,1.598,1.4095,1.4042500000000002,0.037259227045122585,1.444,0.7255,0.7315,0.05329477773040551,0.8009999999999999
pysastrawi,7.0,0.966,0.9582857142857142,0.030505268865745613,0.9890000000000001,0.958,0.9517142857142857,0.0370707174901983,1.001,0.787,0.7849999999999999,0.02009975124224172,0.8079999999999999
pyscf,4.0,3.912,3.9125,0.07452292712089817,3.99,9.4565,9.3785,0.16307973509912255,9.467,0.7895000000000001,0.78525,0.03747332384510342,0.823
pyschedule,7.0,1.689,1.6887142857142856,0.019508240017270376,1.714,3.29,3.317,0.14447029683179405,3.5860000000000003,0.8059999999999999,0.792,0.035061850112812556,0.8390000000000001
pyscreeze,4.0,3.6365,3.6315,0.09987492177719094,3.745,4.5355,4.55425,0.12056084217799226,4.716,0.7605,0.7505,0.06124540799113026,0.8079999999999999
pyserial,4.0,0.9265,0.9232499999999999,0.01386542462386203,0.935,0.9580000000000001,0.9595,0.042067406226990775,1.008,0.732,0.74175,0.031637267054324784,0.7859999999999999
pysf,7.0,0.9590000000000001,0.9560000000000001,0.0272029410174709,1.0,0.9570000000000001,0.9604285714285714,0.0323514922008096,1.023,0.7859999999999999,0.7947142857142857,0.01797882352207997,0.823
pysfg,1.0,1.466,1.466,,1.466,1.646,1.646,,1.646,0.79,0.79,,0.79
pysftp,7.0,1.649,1.6675714285714283,0.05859993499102514,1.7619999999999998,3.6010000000000004,3.6034285714285708,0.11333851528769479,3.778,0.858,0.8425714285714286,0.04445168591799843,0.884
